video_id,title,description,channel_title,published_at,view_count,like_count,comment_count,duration_seconds,tags_text,comments_text,num_fetched_comments,like_rate,comment_rate,engagement_rate,duration_bucket
dA4tTaWLh6Y,I Found The Best Bagel in NYC,,Joshua Weissman,2024-11-02T20:45:01Z,1922452,124452,528,37,,"“It’s at Utopia bagel-“
“ *WHOOO ORDERED THEE SESAMEEE BAGELLL* ” 💀 || Its the “awwhhh c’mooonn🥺👀🥺” for me || first time seeing a bagel that's family sized || That's no bagel.
THAT is a work of art. || My family has been going there for over 20 years.. my parents still do, they live down the block. Glad they are finally getting the recognition they deserve || WHO ORDERED A SESAME BAGLE🗣🗣🗣🗣 || Mb thought for forsure he was gonna finish with "" Stay Flexy "" || Ny / nj bagels are next level and we take them for granted here. Lived in another state for 2 years and craved a good bagel with that signature crust... Its good to be back || Love seeing someone care about their craft and quality like this! Nothing was better than working alongside a chef with care for quality food and service || I used to walk down to utopia bagels at lunch recess during 5th n 6th grade.(1988 n 1989).p.s. 209. Amazing bagel, even then.
  There used to be a pizza place next door called Sals. Some of my best school memories.💛💛
  
Justin Sellars",10,0.06473607663546346,0.0002746492500202866,0.06501072588548375,0-60s
mSuAcDiwkk4,The Secrets Behind New York's Best Bagel — Handmade,"Utopia Bagels co-owner Scott Spellman has been making fresh, New York-style bagels for over 40 years. Here he takes us through his bagel-making process, and talks us through his philosophy on what makes an NYC bagel the one to beat. 

Credits: 
Producer/Director: Carla Francescutti 
Camera: Murilo Ferreira, Carla Francescutti 
Editor: Carla Francescutti 

Executive Producer: Stephen Pelletteri
Development Producer: McGraw Wolfman
Supervising Producer: Stefania Orrù
Associate Director of Audience: Terri Ciccone 
----------------------------------------------------------------------------------------------------------
For more episodes of 'Handmade,' click here: https://trib.al/GbpZ6uw

Eater is the go-to resource for food and restaurant obsessives with hundreds of episodes and new series, featuring exclusive access to dining around the world, rich culture, immersive experiences, and authoritative experts. Binge it, watch it, crave it.

Subscribe to our YouTube Channel now! http://goo.gl/hGwtF0",Eater,2022-01-01T13:00:32Z,6237846,83353,3430,807,bagels how to make bagels best bagels in new york best bagels in nyc best bagels in new york city nyc bagels nyc bagel nyc bagel shop best nyc bagel shop best nyc bagel best bagel in nyc what are nyc bagels good bagel new york style bagels new york bagels everything bagels best bagels bagels recipe new york ny bagels how bagels are made why are bagels boiled bagels from scratch everything bagel Utopia bagels Handmade Eater Handmade boiled bagels,"He respects his employees, respects his local competitors, respects his craft, and most importantly, he seasons both sides of the bagel. What's not to like about this guy? || Love how he gives so much credit to everyone in the restaurant. Sign of someone who respects the craft! || I love how he's not saying ""It's a secret recipe"". He's really confident in his product, his reputation, and the loyalty of his customers, that he has nothing to hide. || I've never seen anyone more deserving of success than this man. He made sure EVERY aspect of making the bagels was perfect. He didn't cut a single corner or take it easy anywhere. || Refreshing to see someone talk about craft and openly discuss the ""secrets"" to their craft, proving that these ""secrets"" are open because so very few people are willing to go to this extent in their craft. || If only more business owners were like this guy...I'd work for him. He seems like a phenomenal entrepreneur and boss. || My husband and I were finally able to make the trip to try this place. So worth the hype. Best lox bagel we’ve ever had! We met Scott & his wife. They were both working the front counters, taking orders, etc. Chatted with them briefly & they were so sweet, even handed us a free bagel fresh out of the oven! So rare to see owners who care so much & aren’t above working right alongside their staff. The love is reflected in the quality of their food! Can’t wait to go back. || I could listen to this man discuss bagels forever. He’s fascinating. || Dude told the bagel story as if it's rocket science and was great at it || Give this guy his own show.
He can make even bagels look interesting",10,0.013362465184295989,0.0005498692978313347,0.013912334482127323,10m+
khFCK7UyOqA,"You need this LOX BAGEL SANDWICH from Utopia Bagels in Whitestone, Queens NYC! 🥯🤤 #DEVOURPOWER",,Devour Power TV,2023-07-04T12:56:53Z,366218,21241,241,57,,"pretty sure it was named after the show Worth It that did an episode with this place years back - love that they helped this business gain more popularity! || Next time try with jalapeño cream cheese trust me || A classic for a reason! || I make an onion bagel with smoked salmon cream cheese, cheddar, Swiss, and Turkey… At least 3-4 times a week 😅 || Bagel with Lox…aaaaamaaaazing || More everything on that bagel!!! || From Boston mass.
I will have to admit New York style. Bagels are the best! Man that hurt, but the truth is the truth! || During my pregnancy, the only thing that I legitimately missed was lox & cream cheese bagels (because you cannot eat uncooked fish). The day after I gave birth, my husband brought me a lox and cream cheese bagel in the hospital with extra capers. 😂🏆 As incredibly appreciative of it as I was, I wish it had been this bad boy right here!!! || One of the greatest combinations!!! || Living in Europe for the last thirty years. The only thing I miss is the NY food. Oh I miss it…",10,0.05800097209858609,0.0006580779754135514,0.05865905007399964,0-60s
fTEOs9BkF2c,The Secret to Authentic New York Style Bagels at Home,"I went to extreme lengths to test and find the secrets to making the best New York Bagel. Thanks to Trade for sponsoring. Visit https://www.drinktrade.com/brian to get a free bag of coffee when you sign up. 

☕Like this content and want to show support? Buy me a ""coffee"" here: https://ko-fi.com/brianlagerstrom

VIDEOS YOU MIGHT LIKE: 
1 hour bagel: https://youtu.be/n_fW_vOFiwQ?si=qF89MFqZD7iaAyTe
New York Cheesecake: https://youtu.be/4BTlI9mW-uU?si=U07T8Vp73hZUwPqi 
1 Dough 3 loaves: https://www.youtube.com/watch?v=HdoP33KPYtY

🔪MY GEAR:
PIZZA STEEL: https://amzn.to/3elVdF9 
DIGITAL SCALE: https://amzn.to/30bNZO3 
HALF SHEET PAN: https://amzn.to/41SQxy1 
HALF SHEET WIRE RACK: https://amzn.to/41tasDT
STAINLESS BOWL: https://amzn.to/3pTBCTo 
MALT POWDER: https://amzn.to/3VZ2rFd
SHEET TRAY COVER: https://amzn.to/3S13HGy
BAGEL BOARDS: https://amzn.to/3S1mkKw
BURLAP: https://amzn.to/4cybSm7
PARCHMENT SHEETS: https://amzn.to/3WgikYV
STURDY SPOON: https://amzn.to/39EccnT 
LID/PIZZA PAN: https://amzn.to/3J43QCx 
**As an Amazon Associate I earn from qualifying purchases**

*RECIPE*
Ingredients:
▪530 grams (2 1/4 cups) warm water (86°F/30°C)
▪3 grams (1t) instant yeast
▪940 grams (7c bread flour)
▪10 grams (1T) diastatic malt powder (or 10 grams sugar as a substitute)
▪20 grams (1T+ 1/4t) salt
▪3-4 liters (1 gallon) water for boiling
▪50 grams (2 1/2 T) molasses

Instructions:
1. In a medium bowl, combine water and yeast. Stir to dissolve the yeast.
2.  bread flour,  malt powder (or sugar), and 20 grams of salt to the bowl.
3. Mix the ingredients with a sturdy spoon until a shaggy dough forms and you can no longer stir with the spoon.
4. Switch to a soaking wet hand and continue mixing the dough by squeezing and folding until the dough is well combined.
5. Transfer the dough to a work surface and knead for 10-12 minutes until smooth and elastic. When adequately kneaded, you should be able to tug on a piece of dough without it tearing.  
6. Place the kneaded dough into a bowl, cover with a lid, and let it bulk ferment at room temperature for 1 hour.
7. After 1 hour, the dough should have risen by about 50%. Cut the dough into 12 pieces, each weighing approximately 120 grams.
8. Shape each piece of dough by pressing it out into a rectangle then, starting with the edge furthest from you, roll the dough back onto  it into itself, pressing into the work surface with each roll until you have a cigar shape, then roll the dough until it’s roughly 10”/25cm long. 
9. Wrap the dough log around your fingers, overlapping by about 3 inches, and squeeze firmly to seal each end of the dough together. 
10. With the dough still wrapped around your hand, roll the dough back and forth on the seam side to fully integrate and shape it into a bagel.
11. Place the shaped bagels onto two parchment-lined sheet trays lightly sprayed with pan spray. Cover with plastic wrap or half sheet tray covers.
12. Move the trays to the refrigerator and cold ferment for at least 4 hours, preferably 24 hours.
13. Preheat your oven to 475°F and soak bagel boards (cedar planks with burlap stapled to them) in water.
14. Bring 3-4 liters of water to a boil in a large pot and add molasses.
15. Cut the parchment around each bagel to make handling easier. 
16. Carefully drop 3 bagels into the boiling water, top side down, and boil for 30 seconds.
17. Flip the bagels and boil for another 30 seconds on the other side.
18. Transfer the boiled bagels to a baking sheet with the bottom side down. 
19. Repeat steps 16, 17, & 18 for remaining bagels
20. Place the boiled bagels onto the soaked bagel boards, top side down.
21. Bake in the preheated oven for 5 minutes on the bagel boards. I like to place mine directly on top of my pizza stone/steel. 
22. After 5 minutes, flip the bagels over so the top side is up, and continue baking for 12-15 minutes on a pizza stone/steel until golden brown and blistered.
23. Remove the bagels from the oven and transfer to a wire rack to cool.

*For Seeded Bagels: *
- After boiling the bagels, immediately press them into a tray of your chosen seeds (e.g., everything bagel seasoning, poppy seeds) with the top side down.
- Place seeded bagels on soaked bagel boards, seed side down, and bake as instructed above.

*Everything Bagel Seasoning:*
EQUAL PARTS (50g)
flakey salt
black sesame seeds
white sesame seeds
poppy seeds
dehydrated minced garlic
dehydrated minced onion
 
*Whipped Cream Cheese Shmear:*
450g (1lb) cream cheese
50g (3T) milk
A pinch of salt
In a stand mixer, whip the cream cheese, milk, & pinch of salt for 2 mins til smooth & spreadable.


CHAPTERS
0:00: intro, mixing, bulk fermentation
4:00: Bagel, cream cheese, and coffee
5:00: How to shape bagels
6:24: A word on cold fermentation
7:36: The boil
9:44 Baking bagels
10:35 How to make your bagels seeded
11:22 Do you need NYC tap water to make a NYC bagel?  
12:06 Whipped cream cheese shmear
12:33 Finished bagel and final thoughts",Brian Lagerstrom ,2024-07-11T16:00:20Z,293496,8392,578,777,New York bagels authentic New York bagels New York bagel secret New York bagel recipe New York bagel NYC bagel how to make New York bagels best bagel recipe how to shape bagels Brian lagerstrom weeds and sardines bagel recipe how to make bagels homemade bagels bagel dough,"The Good Eats style fridge shot gave me such happy nostalgic feelings. || Flying to New York City to get tap water for your bagel experiment is REAL DEDICATION!!!! || literally the greatest cooking channel on yt of all time || I went on a bread-buying strike in January and I’ve *almost* mastered bagels. After this video, I expect to be a pro so I can finally move on to other breads 😅 (although, why? Bagels are life) || Brian I've been a chef, restaurateur and today a hospitality consultant. Recently a potential client asked me if I know bagels as he wants my help opening a bagel & coffee shop. ""Yes sir. I'm your guy.""  After reading through multiple bagel recipes, watching videos, baking bagels and not being satisfied with the results, I found this video. Chef, you are spot on with your bagel technique. Thanks for the help. || I appreciate that you put the recipe in the description box.  External links aren't always kept alive.  

Also using the metric weight amounts is essential.  So frustrated when a recipe doesn't use them. || The ""Kid in trouble"" expression when the mixer went kerflooy. ADORABLE! || As someone who has been desperate for a NY bagel, I appreciate this so much! || So I just got the same results as the bagel board with a sheet pan… what I did was put a loaf pan on the middle rack with a little bit of water to create steam, and I baked them on a cooling rack on top on the sheet pan on the top rack so air could pass through and I definitely got the flakey, blistered crunchy outside with a soft inside…it was very much giving NY bagel and it’s the happiest I’ve been since I was actually in New York eating a New York bagel😂 going to make the shmear soon! || idk if i've ever seen it in one of your vids, but maybe for your next dough vid give it a tug too early to show what tearing looks like and then compare it with the glutinous dough tug later on.",10,0.028593234660779024,0.001969362444462616,0.03056259710524164,10m+
oSusZx0A5to,Best bagels in New York City 🥯 #newyorkcity #nycfood #bagels #newyorkfood #travelfoodie #traveltok,,Cari Elizabeth,2025-10-26T22:36:11Z,16799,621,1,76,,Where’s lox and cream cheese bagel? Thats the original,1,0.03696648610036311,5.952735281862015e-05,0.03702601345318173,1-3m
V5pgGTNDie8,The Best Bagels in NYC You Must Try Before You Die,#shorts,Brett Conti,2023-07-31T18:24:51Z,133768,3690,30,42,nyc new york city best bagels nyc bagels nyc things to do nyc food,"That tompkins square bagel bacon egg n cheese is lookin scrumptious || What about utopia bagels in queens? Their French toast bagel and pina colada bagel us everything I’m gonna try red velvet bagel next || Ahha Bret loves his bagels. Ahhaha love it || Only 2 deserve to be on that list || Pop up is king! || I Love bagels Manhatan! || Cant wait to try! || Unfortunately, The Bagel Store in Brooklyn permanently closed down. || Never throw any at a scientist || What about the Garlic Bagels at Liberty Bagel?",10,0.027585072663118236,0.00022426888343998565,0.02780934154655822,0-60s
Zvyae05iQX4,BEST Pizza & Bagel in NYC..🍕🥯,#andrewcuomo #pizza #nyc,IMPAULSIVE,2025-10-21T18:45:22Z,360923,3286,49,16,andrew cuomo andrew cuomo interview andrew cuomo podcast andrew cuomo logan paul podcast andrew cuomo pizza best pizza in nyc bagel order andrew cuomo bagel & lox gabbys pizza queens pizza,"Logan got the call eh || Outstanding attempt at humanizing this person || Nice of yous guys bringing skeletor on for the halloween podcast || His favourite pizza must be from ""The Holy Land"" || Gotta respect the SHMEEAAA😤 || What is that entity? || Portnoy would definitely disagree with you! 😂 || Make sure that cheque clears boys 😉😉😉 

It’s so obvious now!! It’s like we were all (or most of us) a sleep or blind and now we can see their bull…. || This was part of the questions they were given to ask. 1000 pourcent || Its definitely not Gabys, and its definitely not in Queens....if he had said Brooklyn, i would've nodded.",10,0.009104435017995528,0.000135763029787517,0.009240198047783045,0-60s
Wx5E3S4g4Us,One of NYC’s BEST Bacon Egg & Cheese is coming out of Best Bagel and Coffee! 🥯🥓🍳🧀🔥 #DEVOURPOWER,,Devour Power TV,2024-01-28T21:02:57Z,1826759,116274,1316,49,,"And then they deep fry it and cover it in a aggressive amount of vodka sauce || Bacon, egg, & cheese, cheese, cheese 🔥🔥🔥🦅🦅🦅🗣🗣🗣 || 🎶 Bacon egg and cheese, cheese, cheese cheese 🗣️🔥🔥🎶 || I used to make bagels, muffins, and donuts for Wegmans during college. The muffins and donuts are mostly pre-baked and frozen but the bagels are the real deal, like this. This video brought me back, I can smell the boiling water on the yeast and the baking dough in the oven. Those were some awesome years. || BACON EGG AND CHEESE CHEESE CHEESE 🧀 🥓🥓🥓🥓🍳🍳🧀🧀🧀🧀🧀🥯 || Had me til the ketchup! || BACON EGG AND CHEESE CHEESE CHEESE CHEESE CHEESE CHEESE CHEESE 🥓🥚🧀🧀🧀🧀🧀 || I went to this restaurant a few days ago.  I ordered this sandwich, but with cream cheese instead of ketchup.  It was delicious! || Bacon egg and cheese‼️‼️‼️‼️ || Love this place!!!! The smoked salmon goes nuts",10,0.06365043226829593,0.0007204015417468861,0.06437083381004283,0-60s
hhhIum5KGIY,HOT HONEY BACON EGG & CHEESE FRENCH TOAST BAGEL at The Bagel Box on Staten Island NYC! #DEVOURPOWER,,Devour Power TV,2024-12-22T16:53:24Z,1469937,79281,700,34,,"no buckets of vodka sauce we are so back || I’ve never seen a French toast bagel before but they look delicious! || Currently in the NICU and was told we won’t be able to take our daughter home for Christmas. I showed this video to my wife and we laughed about how good it looked (also how insane it is). It brought a moment of happiness. Sounds stupid, but my wife smiled today. Thank you for your video!
Edit: thank you for all the kind words. I’m back in the same chair in the NICU as I was 9 days ago. Things are looking much better for her and we should be home this week! || That egg got a crunch 💀 || Triple bacon egg n’ cheese French toast bagel smasher 😏🥵 || Ok this actually looks good || A French toast bagel? 1st time I’ve ever heard of that. Would love to try one.🤙 || This seems pretty solid compared to most of the stuff we see on this channel. || That's enough for three heart attacks on three different days 😂😂😂 || B-BACON EGG AND CHEESE CHEESE CHEESE CHEESE🗣️🗣️🗣️🗣️🔊🔊🔊🔊✊🏿✊🏿✊🏿✊🏿✊🏿",10,0.05393496455970562,0.0004762108852284146,0.05441117544493403,0-60s
FGpebx8beAQ,Trying NYC's BEST Bagels!,"I spent $10 on the best bagels in New York. #shorts 

#foodtravel #food #foodie #foodblogger #travel #foodphotography #newyork #foodshorts #eating #reacts #steak  #steakhouse  #beef #bagel",GavinSnacks,2023-09-26T21:47:00Z,127682,2012,55,23,StargateGavin Food cook foodie chef tastyrecipes diet homemade fastfood yummy foodblogger delicious dinner tasty healthylifestyle fresh freshfood easyrecipe michelin dessert steak nutrition shorts everythingiate foodtravel food travel foodphotography gavinsnacks eating reacts foodreacts japan japanese tokyo japanesefood ludwig lisa nguyen wagyu senpai kai meat mukbang gordon ramsay guga food marco pierre white chicken sushi sashimi cooking paolo from tokyo asmr feast curry steakhouse,"You ain't ready for NYC yet kid. || Rookie mistake in total my guy. Classic bacon egg and cheese is best on a roll. 

Bagels are best with cream cheese or cream cheese and lox. Go to any Brooklyn bagel and coffee co location or Utopia Bagels in queens. Get an everything bagel or sesame bagel. 

Keep it up man, love your vids. Also visit Seattle! Native New Yorker now living in Seattle and wanna know your thoughts on some food here. || Love a salt bagel...never enough salt || Did he say 6.7? 😈 || always get bec on a kaiser || Bro predicted the 67 meme || Bacon egg n cheese on a salt bagel- not a good idea. I love salt bagels but with cream cheese and I've never seen one with so much salt anyway. || 67 rating ☠️ || Bacon on a bagel feels like a hate crime || Sounds like user error….",10,0.015757898529158376,0.0004307576635704328,0.016188656192728808,0-60s
SeDT3X2Wte8,Trying the new most hyped up bagel in NYC PT.1 #foodie #bagel #nycbagel #breakfast📍Apollo Bagels,,Jack's Dining Room ,2024-07-02T21:11:03Z,374123,17527,288,55,,"$15 for a bagel is nuts || Bagels have been extremely popular in the tri state area for as long as I’ve been alive and long before then as well. More transplants in NYC just means more instagramable tourist traps are popping off || The crisp on that bagel 😅 😮❤ || New Yorkers don’t wait in line for a bagel. The best bagel is the one you get at your local bagel shop while still in your PJs. || “Bagel warrior” aka minimum wage employee 😂 || Ok. Maybe this is a new experience for you, but bagels have been poppin’ off since the ‘90s! I was in college (in ‘99)  the first time we went to a bagel shop near NYU that made pizza bagels, and bagels with lox, onion shmear, capers and olive oil, but one of my favs was an everything bagel with avocado, sun dried tomato, fluffy scrambled eggs, crispy onions, and olive oil. Out of this world! You could also get it with ham and hollandaise on it. They had one that was avocado, thinly sliced Turkey, cucumber,  crushed hazelnuts, and honey drizzle. It was so good! The bagels were perfectly crispy on the outside and fluffy on the inside! || $15 🤣🤣🤣

American food prices are wild || Gonna do the tomato one in the morning! Lolls delish TY! || Onion, tomato, salt and pepper with regular cream cheese on a toasted everything bagel is my favorite ❤🎉 || Bagels are supposed to be ""chewy"" and not bready. The bagel looks incredible, hot, crispy & fresh. Thanks for the review. I live in NYC.",10,0.04684822905835781,0.0007698003063163719,0.04761802936467418,0-60s
